product,manufacturer,brand,category,subcategory,distributor,stars_TPC,stars_pb,attributes,local_category,brand_city,total_quantity,total_spend
CHEESE MOZZ LMWM FTHR SHRED,NORTHLAND CHEESE,ROMA,Dairy,Dairy,PERFORMANCE FOOD GROUP,NA,Non-Qualifying Spend,NA,Local DC of Natl. Co.,"Rice,MN",45,3111.84
CHEESE MOZZ LMWM REG SHRED,NORTHLAND CHEESE,ROMA,Dairy,Dairy,PERFORMANCE FOOD GROUP,NA,Non-Qualifying Spend,NA,Local DC of Natl. Co.,"Rice,MN",4,272.72
CHEESE MOZZ LMWM SHRED PREM,LEPRINO FOODS COMPANY,BACIO,Dairy,Dairy,PERFORMANCE FOOD GROUP,NA,Non-Qualifying Spend,NA,NA,(null),160,14324.439999999999
CHEESE MOZZ LOG SLCD 1 OZ FRSH,BELGIOIOSO CHEESE INC,BELGIOSO,Dairy,Dairy,PERFORMANCE FOOD GROUP,NA,Non-Qualifying Spend,NA,NA,(null),18,469.97999999999996
CHEESE MUENSTER LOAF,GREAT LAKES CHEESE CO INC,GRT LKS,Dairy,Dairy,PERFORMANCE FOOD GROUP,NA,Non-Qualifying Spend,NA,Local DC of Natl. Co.,"Cuba,NY",2,206.64999999999998
CHEESE MUENSTER LOAF TFF,GREAT LAKES CHEESE CO INC,GRT LKS,Dairy,Dairy,PERFORMANCE FOOD GROUP,NA,Non-Qualifying Spend,NA,Local DC of Natl. Co.,"Cuba,NY",3,52.02
CHEESE PARMESAN FCY SHRED IMP,CHEESE MERCHANTS OF,RAFFINAT,Dairy,Dairy,PERFORMANCE FOOD GROUP,NA,Non-Qualifying Spend,NA,Local DC of Natl. Co.,"Bartlett,IL",54,4692.82
CHEESE PARMESAN GRATED PACKET,SUGAR FOODS CORPORATION,ROMA,Dairy,Dairy,PERFORMANCE FOOD GROUP,NA,Non-Qualifying Spend,NA,NA,(null),101,1606.6100000000001
CHEESE PARMESAN GRATED TUB,CHEESE MERCHANTS OF,ROMA,Dairy,Dairy,PERFORMANCE FOOD GROUP,NA,Non-Qualifying Spend,NA,Local DC of Natl. Co.,"Bartlett,IL",5,359.29
CHEESE PARMESAN ROMANO GRATED,CHEESE MERCHANTS OF,ROMA,Dairy,Dairy,PERFORMANCE FOOD GROUP,NA,Non-Qualifying Spend,NA,Local DC of Natl. Co.,"Bartlett,IL",3,240.45
CHEESE PECORINO ROMANO GRATED,CHEESE MERCHANTS OF,ROMA,Dairy,Dairy,PERFORMANCE FOOD GROUP,NA,Non-Qualifying Spend,NA,Local DC of Natl. Co.,"Bartlett,IL",1,22.71
CHEESE PEPPER JCK CUBE,GREAT LAKES CHEESE CO INC,GRT LKS,Dairy,Dairy,PERFORMANCE FOOD GROUP,NA,Non-Qualifying Spend,NA,Local DC of Natl. Co.,"Cuba,NY",5,188.3
CHEESE PEPPER JCK FTHR SHRED,NORTHLAND CHEESE,NORTHLAN,Dairy,Dairy,PERFORMANCE FOOD GROUP,NA,Non-Qualifying Spend,NA,Local DC of Natl. Co.,"Rice,MN",32,1569.87
CHEESE PROV LOAF SUPER DLX,DAIRY FARMERS OF AMERICA,ROMA,Dairy,Dairy,PERFORMANCE FOOD GROUP,NA,Non-Qualifying Spend,NA,NA,(null),1,25.44
CHEESE PROV SLCD .75 OZ TFF,IPAP DAIRY CUBA NY,WEST CRK,Dairy,Dairy,PERFORMANCE FOOD GROUP,NA,Non-Qualifying Spend,NA,Local DC of Natl. Co.,"Cuba,NY",139,3692.29
CHEESE QUESO COTIJA GRATED,V&V SUPREMO FOODS INC,V&V,Dairy,Dairy,PERFORMANCE FOOD GROUP,NA,Non-Qualifying Spend,MBE- Business Certification,NA,(null),4,242.48
CHEESE RICOTTA WM CLASSIC,LACTALIS CULINARY,GALBANI,Dairy,Dairy,PERFORMANCE FOOD GROUP,NA,Non-Qualifying Spend,NA,Local DC of Natl. Co.,"Buffalo,NY",18,591.3000000000001
CHEESE RICOTTA WM ORGNL NY,BELGIOIOSO CHEESE INC,POLLY-O,Dairy,Dairy,PERFORMANCE FOOD GROUP,NA,Non-Qualifying Spend,NA,NA,(null),8,412.88
CHEESE SHAVED CAESAR BLND,BELGIOIOSO CHEESE INC,BELGIOSO,Dairy,Dairy,PERFORMANCE FOOD GROUP,NA,Non-Qualifying Spend,NA,NA,(null),1,93
CHEESE SWISS LOAF 4X4 FCY CUT,IPAP DAIRY CUBA NY,WEST CRK,Dairy,Dairy,PERFORMANCE FOOD GROUP,NA,Non-Qualifying Spend,NA,Local DC of Natl. Co.,"Cuba,NY",2,47.099999999999994
CHEESE SWISS LOAF GRD A,IPAP DAIRY CUBA NY,WEST CRK,Dairy,Dairy,PERFORMANCE FOOD GROUP,NA,Non-Qualifying Spend,NA,Local DC of Natl. Co.,"Cuba,NY",1,47.27
CHEESE SWISS SLCD .75 OZ,IPAP DAIRY CUBA NY,WEST CRK,Dairy,Dairy,PERFORMANCE FOOD GROUP,NA,Non-Qualifying Spend,NA,Local DC of Natl. Co.,"Cuba,NY",180,5603.990000000001
CHEESE VEGAN CHED YLW SHRED GF,NORTHLAND CHEESE,ROMA,Plant Protein,Plant Dairy,PERFORMANCE FOOD GROUP,NA,Non-Qualifying Spend,Veg Alternatives to Meat/Dairy,Local DC of Natl. Co.,"Rice,MN",8,594.48
CHEESE VEGAN MOZZ STYLE SHRED,NORTHLAND CHEESE,ROMA,Plant Protein,Plant Dairy,PERFORMANCE FOOD GROUP,NA,Non-Qualifying Spend,Veg Alternatives to Meat/Dairy,Local DC of Natl. Co.,"Rice,MN",33,2457.68
"CHEESE, 18 MONTH AGED GOUDA",Artikaas,Artikaas,Dairy,Dairy,SID WAINER,NA,Non-Qualifying Spend,NA,NA,(null),1,69.55
"Cheese, Mozzarella, Ciliegine",MAPLEBROOK FARM,MAPLEBROOK FARM,Dairy,Dairy,MARTY'S LOCAL,NA,Non-Qualifying Spend,Local,Local Vendors/Local Products,"North Bennington,VT",3,66.6
"CHEESECAKE NY 14 CUT 10""",DAVIDS COOKIES,DAVIDS,Highly Proccessed,Baked (Desserts),PERFORMANCE FOOD GROUP,NA,Non-Qualifying Spend,NA,Local DC of Natl. Co.,"Cedar Grove,NJ",1,32.51
CHEETOS HOT CRNCHY OVEN BKD,PEPSICO FRITO LAY STACYS,BKDCHEET,Highly Proccessed,Snacks,PERFORMANCE FOOD GROUP,NA,Non-Qualifying Spend,NA,Local DC of Natl. Co.,"Dayville,CT",8,287.58
CHERRIES MARASCHINO PLN XL,COSMOS FOOD PRODUCTS INC,COSMOS,Highly Proccessed,Grocery,PERFORMANCE FOOD GROUP,NA,Non-Qualifying Spend,NA,Local Business/Non-Local Products,"West Haven,CT",4,287.34000000000003
CHERRIES WHL PITTED FZ,ASIAGO FOODS USA,ASIAGO,Minimal Proccessed,Produce,PERFORMANCE FOOD GROUP,NA,Qualifying Spend,Minimal (or No) Processing,Local DC of Natl. Co.,"Mapleville,RI",18,882.9
CHICKEN BRST 4 OZ B/S SNG CVP,MAR JAC POULTRY AL LLC,WEST CRK,Animal Protein,Poultry,PERFORMANCE FOOD GROUP,NA,Non-Qualifying Spend,NA,NA,(null),11,874.83
CHICKEN BRST 4 OZ SNG B/S NAE,PERDUE FARMS INC,HRVSTLND,Animal Protein,Poultry,PERFORMANCE FOOD GROUP,NA,Non-Qualifying Spend,No Antibiotics Ever (NAE),NA,(null),37,3269.92
CHICKEN BRST 4 OZ SNG B/S S/T,KOCH FOODS INC,WEST CRK,Animal Protein,Poultry,PERFORMANCE FOOD GROUP,NA,Non-Qualifying Spend,NA,NA,(null),22,1772.8400000000001
CHICKEN BRST AIRLINE,KINNEALEY,PERF CM,Animal Protein,Poultry,PERFORMANCE FOOD GROUP,NA,Non-Qualifying Spend,NA,Local DC of Natl. Co.,"Brockton,MA",128,9237.06
CHICKEN BRST AIRLINE  FZ,KINNEALEY,PERF CM,Animal Protein,Poultry,PERFORMANCE FOOD GROUP,NA,Non-Qualifying Spend,NA,Local DC of Natl. Co.,"Brockton,MA",49,2949.31
CHICKEN BRST AIRLINE B & E,KINNEALEY,PERF CM,Animal Protein,Poultry,PERFORMANCE FOOD GROUP,NA,Non-Qualifying Spend,NA,Local DC of Natl. Co.,"Brockton,MA",20,1562.4
CHICKEN BRST BNLS SKN-ON,KINNEALEY,PERF CM,Animal Protein,Poultry,PERFORMANCE FOOD GROUP,NA,Non-Qualifying Spend,NA,Local DC of Natl. Co.,"Brockton,MA",54,3468.9300000000003
CHICKEN BRST BRD 4OZ FC NAT FZ,HOUSE OF RAEFORD CHICKEN,ROMA,Animal Protein,Poultry,PERFORMANCE FOOD GROUP,NA,Non-Qualifying Spend,NA,NA,(null),1,38.8
CHICKEN BRST CHNK TEMPURA FZ,PILGRIMS PRIDE CORP,PIERCE,Animal Protein,Poultry,PERFORMANCE FOOD GROUP,NA,Non-Qualifying Spend,NA,NA,(null),307,12138.84
CHICKEN BRST DICED FC NAE FZ,IPAP JOHN SOULES FOODS,FRMSMRT,Animal Protein,Poultry,PERFORMANCE FOOD GROUP,NA,Non-Qualifying Spend,No Antibiotics Ever (NAE),NA,(null),266,13306.39
CHICKEN BRST FIL B/S 4 OZ IQF,PERDUE FARMS INC,HRVSTLND,Animal Protein,Poultry,PERFORMANCE FOOD GROUP,NA,Non-Qualifying Spend,NA,NA,(null),10,465.4
CHICKEN BRST FIL BRD NAT FC,TYSON FRZN POULTRY OR MEX,TYSON,Animal Protein,Poultry,PERFORMANCE FOOD GROUP,NA,Non-Qualifying Spend,NA,NA,(null),12,480.29999999999995
CHICKEN BRST FIL FRITTER NAE,TYSON FRZN POULTRY OR MEX,TYSON,Animal Protein,Poultry,PERFORMANCE FOOD GROUP,NA,Non-Qualifying Spend,No Antibiotics Ever (NAE),NA,(null),78,1896.18
CHICKEN BRST FIL NAT BRD FC FZ,BRAKEBUSH BROTHERS INC,BRAKEBSH,Animal Protein,Poultry,PERFORMANCE FOOD GROUP,NA,Non-Qualifying Spend,NA,NA,(null),115,5495.9
CHICKEN BRST IMIT SOY VEGAN TFF,PINNACLE FOODS GROUP FRZN,GARDEIN,Plant Protein,Poultry,PERFORMANCE FOOD GROUP,NA,Non-Qualifying Spend,Veg Alternatives to Meat/Dairy,NA,(null),1,56.83
CHICKEN BRST PATTY BRD FC CN,BRAKEBUSH BROTHERS INC,BRAKEBSH,Animal Protein,Poultry,PERFORMANCE FOOD GROUP,NA,Non-Qualifying Spend,NA,NA,(null),8,287.84
CHICKEN BRST SNG 4 OZ B/S NAE,MAR JAC POULTRY AL LLC,FRMSMRT,Animal Protein,Poultry,PERFORMANCE FOOD GROUP,NA,Non-Qualifying Spend,No Antibiotics Ever (NAE),NA,(null),879,78218.36
CHICKEN BRST SNG 6 OZ B/S NAE,MAR JAC POULTRY AL LLC,FRMSMRT,Animal Protein,Poultry,PERFORMANCE FOOD GROUP,NA,Non-Qualifying Spend,No Antibiotics Ever (NAE),NA,(null),372,28636.36
CHICKEN BRST SNG 7 OZ B/S NAE,MAR JAC POULTRY AL LLC,FRMSMRT,Animal Protein,Poultry,PERFORMANCE FOOD GROUP,NA,Non-Qualifying Spend,No Antibiotics Ever (NAE),NA,(null),34,2874.7
CHICKEN BRST STRIP FAJITA FC FZ,IPAP JOHN SOULES FOODS,CONTIGO,Animal Protein,Poultry,PERFORMANCE FOOD GROUP,NA,Non-Qualifying Spend,NA,NA,(null),5,196.9
CHICKEN BRST STRIP FAJITA FC FZ,TYSON FRZN POULTRY OR MEX,TYSON,Animal Protein,Poultry,PERFORMANCE FOOD GROUP,NA,Non-Qualifying Spend,NA,NA,(null),24,1025.76
CHICKEN BRST STRIP FC FZ,PERDUE FARMS INC,HRVSTLND,Animal Protein,Poultry,PERFORMANCE FOOD GROUP,NA,Non-Qualifying Spend,NA,NA,(null),343,15869.32
CHICKEN BRST STRIP GRLLD FC,IPAP JOHN SOULES FOODS,WEST CRK,Animal Protein,Poultry,PERFORMANCE FOOD GROUP,NA,Non-Qualifying Spend,NA,NA,(null),166,7291.840000000001
CHICKEN BRST STRIP GRLLD IQF FC,BRAKEBUSH BROTHERS INC,BRAKEBSH,Animal Protein,Poultry,PERFORMANCE FOOD GROUP,NA,Non-Qualifying Spend,NA,NA,(null),12,489.56
CHICKEN BRST STRIP LG GRLLD NAE,TYSON FRZN POULTRY OR MEX,REDLBLT,Animal Protein,Poultry,PERFORMANCE FOOD GROUP,NA,Non-Qualifying Spend,No Antibiotics Ever (NAE),NA,(null),111,3633.88
CHICKEN BRST STRIP TEMPURA FZ,PILGRIMS PRIDE CORP,PIERCE,Animal Protein,Poultry,PERFORMANCE FOOD GROUP,NA,Non-Qualifying Spend,NA,NA,(null),498,20047.2
CHICKEN BRST TNDR BRD FC GF FZ,PERDUE FARMS INC,HRVSTLND,Animal Protein,Poultry,PERFORMANCE FOOD GROUP,NA,Non-Qualifying Spend,NA,NA,(null),189,9840.369999999999
CHICKEN BRST W/WING AIRLINE IQF,PERDUE FARMS INC,HRVSTLND,Animal Protein,Poultry,PERFORMANCE FOOD GROUP,NA,Non-Qualifying Spend,NA,NA,(null),100,4399.3499999999995
CHICKEN DICED 50/50 FC FZ,WAYNE FARMS LLC,DUTCH QU,Animal Protein,Poultry,PERFORMANCE FOOD GROUP,NA,Non-Qualifying Spend,NA,NA,(null),10,440.46
"CHICKEN DICED FC 1/2"" 65/35",TYSON FRZN POULTRY OR MEX,TYSON,Animal Protein,Poultry,PERFORMANCE FOOD GROUP,NA,Non-Qualifying Spend,NA,NA,(null),1,36.57
CHICKEN DICED WHI FC FZ TFF,CURATE FOODSERVICE,WNCHSTRF,Animal Protein,Poultry,PERFORMANCE FOOD GROUP,NA,Non-Qualifying Spend,NA,Local Business/Non-Local Products,"NORTH ANDOVER,MA",10,346.35
CHICKEN GRND THIGH MEAT,KINNEALEY,PERF CM,Animal Protein,Poultry,PERFORMANCE FOOD GROUP,NA,Non-Qualifying Spend,NA,Local DC of Natl. Co.,"Brockton,MA",15,577.5
CHICKEN IMIT SOY PCS BRD CRISPY,PINNACLE FOODS GROUP FRZN,GARDEIN,Plant Protein,Poultry,PERFORMANCE FOOD GROUP,NA,Non-Qualifying Spend,"Non GMO Verified,Veg Alternatives to Meat/Dairy",NA,(null),21,854.9000000000001
CHICKEN IMIT TNDR BRD,PINNACLE FOODS GROUP FRZN,GARDEIN,Plant Protein,Poultry,PERFORMANCE FOOD GROUP,NA,Non-Qualifying Spend,Veg Alternatives to Meat/Dairy,NA,(null),19,1110.08
CHICKEN NUGGET IMIT TVP FC,"NATURE SOY LLC",VEGIELND,Plant Protein,Poultry,PERFORMANCE FOOD GROUP,NA,Non-Qualifying Spend,"Non GMO Verified,Veg Alternatives to Meat/Dairy",Local Business/Non-Local Products,"Philadelphia,PA",2,91.36
CHICKEN POPCORN ALL BRST FZ,BRAKEBUSH BROTHERS INC,BRAKEBSH,Animal Protein,Poultry,PERFORMANCE FOOD GROUP,NA,Non-Qualifying Spend,NA,NA,(null),303,10045.55
CHICKEN POPCORN BITE ORGNL RTC,TYSON FRZN POULTRY OR MEX,TYSON,Animal Protein,Poultry,PERFORMANCE FOOD GROUP,NA,Non-Qualifying Spend,NA,NA,(null),24,556.8
CHICKEN POTSTICKER TERIYAKI,SCHWANS FOOD SERVICE INC,CHEFONE,Highly Proccessed,Frozen,PERFORMANCE FOOD GROUP,NA,Non-Qualifying Spend,NA,Local DC of Natl. Co.,"Brooklyn,NY",1,34.09
CHICKEN PULLED SMKD FC FZ GF,HORMEL FOODS CORP,AUS BLUE,Animal Protein,Poultry,PERFORMANCE FOOD GROUP,NA,Non-Qualifying Spend,NA,NA,(null),298,14782.550000000001
CHICKEN SHAVED FZ,LINCOLN PACKING LLC,LINCOLN,Animal Protein,Poultry,PERFORMANCE FOOD GROUP,NA,Non-Qualifying Spend,NA,Local Business/Non-Local Products,"Cranston,RI",39,1483.05
CHICKEN STRIP JULIENNE FZ,KINNEALEY,PERF CM,Animal Protein,Poultry,PERFORMANCE FOOD GROUP,NA,Non-Qualifying Spend,NA,Local DC of Natl. Co.,"Brockton,MA",12,662.28
CHICKEN THIGH 5-6 OZ B/I SKN-ON,KINNEALEY,BELL&EVN,Animal Protein,Poultry,PERFORMANCE FOOD GROUP,NA,Non-Qualifying Spend,NA,Local DC of Natl. Co.,"Brockton,MA",5,548.35
CHICKEN THIGH B/S HALAL CVP FZ,B&B TRADING,PACKER,Animal Protein,Poultry,PERFORMANCE FOOD GROUP,NA,Non-Qualifying Spend,NA,NA,(null),8,825.68
CHICKEN THIGH FIL B/S BRD FC FZ,TYSON FRZN POULTRY OR MEX,TYSON,Animal Protein,Poultry,PERFORMANCE FOOD GROUP,NA,Non-Qualifying Spend,NA,NA,(null),13,504.53
CHICKEN THIGH JUMBO B/S NAE,AMICK FARMS,FRMSMRT,Animal Protein,Poultry,PERFORMANCE FOOD GROUP,NA,Non-Qualifying Spend,No Antibiotics Ever (NAE),Local Business/Non-Local Products,"Batesburg-Leesville,SC",610,56226.2
CHICKEN THIGH JUMBO B/S NAE FZ,AMICK FARMS,FRMSMRT,Animal Protein,Poultry,PERFORMANCE FOOD GROUP,NA,Non-Qualifying Spend,No Antibiotics Ever (NAE),Local Business/Non-Local Products,"Batesburg-Leesville,SC",3,309.63
CHICKEN THIGH MEAT PULLED FC FZ,HORMEL FOODS CORP,HRML FRB,Animal Protein,Poultry,PERFORMANCE FOOD GROUP,NA,Non-Qualifying Spend,NA,NA,(null),35,1866.45
CHICKEN TNDR FRITTER FZ,KOCH FOODS INC,KOCH,Animal Protein,Poultry,PERFORMANCE FOOD GROUP,NA,Non-Qualifying Spend,NA,NA,(null),97,3512.2999999999993
CHICKEN TNDRLN BRD 95-120 FC FZ,IDAHO FREEZ PAK CORP,PIERCE,Animal Protein,Poultry,PERFORMANCE FOOD GROUP,NA,Non-Qualifying Spend,NA,Local Business/Non-Local Products,"Wood Ridge,NJ",6,267.42
CHICKEN TNDRLN BRD FC,WAYNE FARMS LLC,DUTCH QU,Animal Protein,Poultry,PERFORMANCE FOOD GROUP,NA,Non-Qualifying Spend,NA,NA,(null),33,1182.72
CHICKEN TNDRLN BRD GLDN RTC FZ,KOCH FOODS INC,WEST CRK,Animal Protein,Poultry,PERFORMANCE FOOD GROUP,NA,Non-Qualifying Spend,NA,NA,(null),638,21475.399999999998
CHICKEN TNDRLN BRD J CRUMB FZ,BRAKEBUSH BROTHERS INC,BRAKEBSH,Animal Protein,Poultry,PERFORMANCE FOOD GROUP,NA,Non-Qualifying Spend,NA,NA,(null),1,39.31
CHICKEN TNDRLN BUTTERMILK BRD,PERDUE FARMS INC,HRVSTLND,Animal Protein,Poultry,PERFORMANCE FOOD GROUP,NA,Non-Qualifying Spend,NA,NA,(null),1,45.64
CHICKEN TNDRLN CLPPD NAE,AMICK FARMS,FRMSMRT,Animal Protein,Poultry,PERFORMANCE FOOD GROUP,NA,Non-Qualifying Spend,No Antibiotics Ever (NAE),Local Business/Non-Local Products,"Batesburg-Leesville,SC",112,14124.72
CHICKEN TNDRLN CRUMB ORGNL FZ,TYSON FRZN POULTRY OR MEX,TYSON,Animal Protein,Poultry,PERFORMANCE FOOD GROUP,NA,Non-Qualifying Spend,NA,NA,(null),120,5022
CHICKEN TNDRLN SAVORY RTC BRD,TYSON FRZN POULTRY OR MEX,BRANDYWN,Animal Protein,Poultry,PERFORMANCE FOOD GROUP,NA,Non-Qualifying Spend,NA,NA,(null),1,27.72
CHICKEN TNDRLN SPICY MED,TYSON FRZN POULTRY OR MEX,HRTGVALY,Animal Protein,Poultry,PERFORMANCE FOOD GROUP,NA,Non-Qualifying Spend,NA,NA,(null),1,34.92
CHICKEN WING 1.52 OZ JUMBO FC,TYSON FRZN POULTRY OR MEX,TYSON,Animal Protein,Poultry,PERFORMANCE FOOD GROUP,NA,Non-Qualifying Spend,NA,NA,(null),58,2460.94
CHICKEN WING 1ST & 2ND JUMBO,MOUNTAIRE FARMS,WEST CRK,Animal Protein,Poultry,PERFORMANCE FOOD GROUP,NA,Non-Qualifying Spend,NA,NA,(null),119,15866.36
CHICKEN WING BUFFALO,WAYNE FARMS LLC,DUTCH QU,Animal Protein,Poultry,PERFORMANCE FOOD GROUP,NA,Non-Qualifying Spend,NA,NA,(null),37,1808.6200000000001
CHICKEN WING DITTIES FC,BRAKEBUSH BROTHERS INC,BRAKEBSH,Animal Protein,Poultry,PERFORMANCE FOOD GROUP,NA,Non-Qualifying Spend,NA,NA,(null),1,49.78
CHICKEN WING OF FIRE GLZD FC FZ,TYSON FRZN POULTRY OR MEX,TYSON,Animal Protein,Poultry,PERFORMANCE FOOD GROUP,NA,Non-Qualifying Spend,NA,NA,(null),24,1253.48
CHICKEN WING OF FIRE JUMBO FZ,TYSON FRZN POULTRY OR MEX,TYSON,Animal Protein,Poultry,PERFORMANCE FOOD GROUP,NA,Non-Qualifying Spend,NA,NA,(null),10,575.6800000000001
CHICKEN WING ROTISSERIE FC FZ,KOCH FOODS INC,WEST CRK,Animal Protein,Poultry,PERFORMANCE FOOD GROUP,NA,Non-Qualifying Spend,NA,NA,(null),85,4613.45
"Chicken, Boneless Breast (Frozen)",Hager's Farm Market,Hager's Farm Market,Animal Protein,Poultry,MARTY'S LOCAL,NA,Non-Qualifying Spend,Local,Local Vendors/Local Products,"Shelburne Falls,MA",20,2143.45
"Chicken, Thighs",Hager's Farm Market,Hager's Farm Market,Animal Protein,Poultry,MARTY'S LOCAL,NA,Non-Qualifying Spend,Local,Local Vendors/Local Products,"Shelburne Falls,MA",12,1007.16
CHILI 3 BEAN LF GF RTU,KETTLE CUISINE LLC,KETTLE C,Highly Proccessed,Soups & Bases,PERFORMANCE FOOD GROUP,NA,Non-Qualifying Spend,NA,Local DC of Natl. Co.,"Lynn,MA",66,2498.77
CHILI GRND BEEF W/BEAN FRSH,KETTLE CUISINE LLC,KETTLE C,Highly Proccessed,Soups & Bases,PERFORMANCE FOOD GROUP,NA,Non-Qualifying Spend,NA,Local DC of Natl. Co.,"Lynn,MA",6,258.66
CHILI SWEET POTATO & QUINOA RTU,KETTLE CUISINE LLC,KETTLE C,Highly Proccessed,Soups & Bases,PERFORMANCE FOOD GROUP,NA,Non-Qualifying Spend,NA,Local DC of Natl. Co.,"Lynn,MA",1,39.92
CHIP ARGENTINIAN CHIMICHURRI,Deep River Snacks,DPRVRSNK,Highly Proccessed,Snacks,PERFORMANCE FOOD GROUP,NA,Non-Qualifying Spend,Non GMO Verified,Local DC of Natl. Co.,"Deep River,CT",6,101.25
CHIP BANANA DRIED,ARCADE INDUSTRIES,PACKER,Minimal Proccessed,Snacks,PERFORMANCE FOOD GROUP,NA,Qualifying Spend,Minimal (or No) Processing,Local Business/Non-Local Products,"Auburn,MA",1,35.69
CHIP CORN BULK TFF,PEPSICO FRITO LAY STACYS,FRITOS,Highly Proccessed,Snacks,PERFORMANCE FOOD GROUP,NA,Non-Qualifying Spend,NA,Local DC of Natl. Co.,"Dayville,CT",5,80.1
CHIP CORN REG 1 OZ,PEPSICO FRITO LAY STACYS,FRITOS,Highly Proccessed,Snacks,PERFORMANCE FOOD GROUP,NA,Non-Qualifying Spend,NA,Local DC of Natl. Co.,"Dayville,CT",38,1347.83
CHIP CORN REG LSS,PEPSICO FRITO LAY STACYS,FRITOS,Highly Proccessed,Snacks,PERFORMANCE FOOD GROUP,NA,Non-Qualifying Spend,NA,Local DC of Natl. Co.,"Dayville,CT",2,64.92
CHIP CORN WHI CHED,THE QUAKER OATS CO,POPCORNR,Highly Proccessed,Snacks,PERFORMANCE FOOD GROUP,NA,Non-Qualifying Spend,NA,NA,(null),4,126.28
CHIP MLT-GRN GARDEN SALSA TFF,PEPSICO FRITO LAY STACYS,SUNCHIPS,Highly Proccessed,Snacks,PERFORMANCE FOOD GROUP,NA,Non-Qualifying Spend,NA,Local DC of Natl. Co.,"Dayville,CT",57,1970.3300000000002
CHIP MLT-GRN HARVEST CHED TFF,PEPSICO FRITO LAY STACYS,SUNCHIPS,Highly Proccessed,Snacks,PERFORMANCE FOOD GROUP,NA,Non-Qualifying Spend,NA,Local DC of Natl. Co.,"Dayville,CT",32,1135.13
CHIP MLT-GRN ORGNL LSS,PEPSICO FRITO LAY STACYS,SUNCHIPS,Highly Proccessed,Snacks,PERFORMANCE FOOD GROUP,NA,Non-Qualifying Spend,NA,Local DC of Natl. Co.,"Dayville,CT",1,33.25
CHIP MLT-GRN ORGNL TFF,PEPSICO FRITO LAY STACYS,SUNCHIPS,Highly Proccessed,Snacks,PERFORMANCE FOOD GROUP,NA,Non-Qualifying Spend,NA,Local DC of Natl. Co.,"Dayville,CT",7,250.49
CHIP PITA CINNAMON SUGAR 1.5 OZ,THE QUAKER OATS CO,STACYS,Highly Proccessed,Snacks,PERFORMANCE FOOD GROUP,NA,Non-Qualifying Spend,NA,NA,(null),1,13.26
CHIP PITA PARMESAN GARLIC HERB,THE QUAKER OATS CO,STACYS,Highly Proccessed,Snacks,PERFORMANCE FOOD GROUP,NA,Non-Qualifying Spend,NA,NA,(null),2,26.12
CHIP PITA SMPLY NAKED BULK,THE QUAKER OATS CO,STACYS,Highly Proccessed,Snacks,PERFORMANCE FOOD GROUP,NA,Non-Qualifying Spend,NA,NA,(null),5,122
CHIP PITA SMPLY NAKED LSS,THE QUAKER OATS CO,STACYS,Highly Proccessed,Snacks,PERFORMANCE FOOD GROUP,NA,Non-Qualifying Spend,NA,NA,(null),17,222.02
CHIP POTATO BBQ CRISP LSS,PEPSICO FRITO LAY STACYS,BKDLAYS,Highly Proccessed,Snacks,PERFORMANCE FOOD GROUP,NA,Non-Qualifying Spend,NA,Local DC of Natl. Co.,"Dayville,CT",3,99.75
CHIP POTATO BBQ LSS,PEPSICO FRITO LAY STACYS,LAYS,Highly Proccessed,Snacks,PERFORMANCE FOOD GROUP,NA,Non-Qualifying Spend,NA,Local DC of Natl. Co.,"Dayville,CT",6,193.14
CHIP POTATO BBQ TFF,PEPSICO FRITO LAY STACYS,LAYS,Highly Proccessed,Snacks,PERFORMANCE FOOD GROUP,NA,Non-Qualifying Spend,NA,Local DC of Natl. Co.,"Dayville,CT",56,1942.04
CHIP POTATO BKD SOUR CREAM &,PEPSICO FRITO LAY STACYS,BKDLAYS,Highly Proccessed,Snacks,PERFORMANCE FOOD GROUP,NA,Non-Qualifying Spend,NA,Local DC of Natl. Co.,"Dayville,CT",2,63.32
CHIP POTATO CHED & SOUR CREAM,PEPSICO FRITO LAY STACYS,RUFFLES,Highly Proccessed,Snacks,PERFORMANCE FOOD GROUP,NA,Non-Qualifying Spend,NA,Local DC of Natl. Co.,"Dayville,CT",33,1060.6799999999998
CHIP POTATO CLASSIC KETTLE,CAMPBELL FOODSVC SL,CAPE COD,Highly Proccessed,Snacks,PERFORMANCE FOOD GROUP,NA,Non-Qualifying Spend,NA,Local DC of Natl. Co.,"Hyannis,MA",35,882.7
CHIP POTATO FUN SIZE TFF,PEPSICO FRITO LAY STACYS,LAYS,Highly Proccessed,Snacks,PERFORMANCE FOOD GROUP,NA,Non-Qualifying Spend,NA,Local DC of Natl. Co.,"Dayville,CT",2,38.52
CHIP POTATO KETTLE BLK TRUFFLE,Deep River Snacks,DPRVRSNK,Highly Proccessed,Snacks,PERFORMANCE FOOD GROUP,NA,Non-Qualifying Spend,Non GMO Verified,Local DC of Natl. Co.,"Deep River,CT",4,67.11000000000001
CHIP POTATO KETTLE CHED,Deep River Snacks,DPRVRSNK,Highly Proccessed,Snacks,PERFORMANCE FOOD GROUP,NA,Non-Qualifying Spend,NA,Local DC of Natl. Co.,"Deep River,CT",5,84.6
