product,manufacturer,brand,category,subcategory,distributor,stars_TPC,stars_pb,attributes,local_category,brand_city,total_quantity,total_spend
MILK LACTOSE FREE FF CARTON,HP HOOD LLC,LACTAID,Dairy,Dairy,PERFORMANCE FOOD GROUP,NA,Non-Qualifying Spend,NA,Local DC of Natl. Co.,"Oneida,NY",184,1546.2800000000002
MILK OAT EXTRA CRMY GF UHT,HP HOOD LLC,PLNTOAT,Plant Protein,Plant Dairy,PERFORMANCE FOOD GROUP,NA,Non-Qualifying Spend,Veg Alternatives to Meat/Dairy,Local DC of Natl. Co.,"Oneida,NY",5,87.03999999999999
MILK OAT ORGNL GF UHT,HP HOOD LLC,PLNTOAT,Plant Protein,Plant Dairy,PERFORMANCE FOOD GROUP,NA,Non-Qualifying Spend,Veg Alternatives to Meat/Dairy,Local DC of Natl. Co.,"Oneida,NY",94,1636.7399999999998
MILK OAT ORGNL NON DAIRY,OATLY USA INC,OATLY,Plant Protein,Plant Dairy,PERFORMANCE FOOD GROUP,NA,Non-Qualifying Spend,Veg Alternatives to Meat/Dairy,Local DC of Natl. Co.,"Millville,NJ",845,27259.7
MILK OAT ORGNL UNSWTND,HP HOOD LLC,PLNTOAT,Plant Protein,Plant Dairy,PERFORMANCE FOOD GROUP,NA,Non-Qualifying Spend,Veg Alternatives to Meat/Dairy,Local DC of Natl. Co.,"Oneida,NY",14,249.36
MILK PURE ALMOND DARK CHOC,DANONE GROUP,SILK,Plant Protein,Plant Dairy,PERFORMANCE FOOD GROUP,NA,Non-Qualifying Spend,"Non GMO Verified,B-Corp. Certified,Veg Alternatives to Meat/Dairy",NA,(null),311,5438.309999999999
MILK PURE ALMOND VAN ASEPTIC,DANONE GROUP,SILK,Plant Protein,Plant Dairy,PERFORMANCE FOOD GROUP,NA,Non-Qualifying Spend,"Non GMO Verified,B-Corp. Certified,Veg Alternatives to Meat/Dairy",NA,(null),352,6144.000000000001
MILK RICE ORGNL ENRICHED,HAIN CELESTIAL GROUP,RICEDRM,Plant Protein,Plant Dairy,PERFORMANCE FOOD GROUP,NA,Non-Qualifying Spend,Veg Alternatives to Meat/Dairy,NA,(null),6,232.70000000000002
MILK SOY CHOC ASEPTIC SNG SERVE,DANONE GROUP,SILK,Plant Protein,Plant Dairy,PERFORMANCE FOOD GROUP,NA,Non-Qualifying Spend,"Non GMO Verified,B-Corp. Certified,Veg Alternatives to Meat/Dairy",NA,(null),312,5454.629999999999
MILK SOY CHOC BULK BAG ESL TFF,DANONE US LLC,SILK,Plant Protein,Plant Dairy,PERFORMANCE FOOD GROUP,USDA Certified Organic,Qualifying Spend,"USDA Certified Organic,Non GMO Verified,B-Corp. Certified,Veg Alternatives to Meat/Dairy",NA,(null),2,35.26
